,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,QUEENCO,2020 ביום 31 בדצמבר,116508000.0,9335000.0,0.34,44823000.0,12575000.0,,-3732000.0,-1328000.0,188310000.0,56108000.0,14899000.0,3295000.0,85552000.0,,30026796.0,,
1,ACCEL,31 בדצמבר 2020,66347000.0,-6075000.0,-0.068,13474000.0,-4932000.0,4103000.0,-2581000.0,24435000.0,75110000.0,44293000.0,,,,,100129895.0,,
2,AIRPORT CITY,2020,728210000.0,193553000.0,1.5,610012000.0,337388000.0,487999000.0,-297377000.0,51667000.0,15260519000.0,7680054000.0,526156000.0,4055568000.0,7580465000.0,,124488481.0,,
3,ALBAAD,31.12.2020,1578936.0,101868.0,9.62,418704.0,174348.0,,,,1413338.0,485732.0,,272192.0,485732.0,25000.0,,,
4,DOR ALON,2020,82717000.0,19946000.0,,,,,,,228834000.0,,,110286000.0,76595000.0,,,,
5,AURA,31 בדצמבר 2020,1102173000.0,42134000.0,0.193,510822000.0,96142000.0,,-3875000.0,175206000.0,1822318000.0,1157586000.0,,,368741000.0,,218057625.0,,
6,AVGOL,,383017000.0,36935000.0,0.124,95064000.0,,,-6021000.0,-56808000.0,463831000.0,289039000.0,100766000.0,120658000.0,174385000.0,,304221602.0,,
7,AIRTOUCH,2020,1934000.0,-7373000.0,73.59,1707000.0,-6955000.0,-4182000.0,-553000.0,7140000.0,6955000.0,7721000.0,1250000.0,1392000.0,-766000.0,,121761.0,,
8,ALLOT,"February 9, 2021",135900000.0,-9348000.0,-0.27,95840000.0,-9029000.0,-12225000.0,17059000.0,1835000.0,201600000.0,130152000.0,,,130152000.0,,35007201.0,"Management expects 2021 revenues to grow to between $145-150 million; Management expects to close additional recurring security deals to be executed in 2021 with MAR* expected to exceed $180 million; Management expects recurring security revenues in 2021 to be between $6 -$8 million, and expected to exceed $25 million in 2022;",
9,ALMEDA PARTICIPATION UNIT,"31 בדצמבר, 2020",,275.0,,,,,-6500.0,19236.0,19141.0,164.0,0.0,0.0,18977.0,0.0,6909400.0,,
10,ARAN,,,,,,,,,,,,,,,,,,
11,AUDIOCODES,"January 26, 2021",220800000.0,27200000.0,0.83,149816000.0,38350000.0,38500000.0,-139308000.0,77093000.0,358123000.0,148268000.0,1200000.0,21830000.0,209855000.0,,,Yes,
12,AVIV,"31 בדצמבר, 2020",26969000.0,-44442000.0,-1.19,22019000.0,-54073000.0,3957000.0,42335000.0,-17945000.0,169598000.0,109149000.0,59780000.0,54647000.0,73409000.0,0.0,37426662.0,,
13,BATM,19 April 2021,183600000.0,11482000.0,0.0222,60700000.0,14233000.0,20100000.0,-5481000.0,-3249000.0,200106000.0,81343000.0,5365000.0,675000.0,118763000.0,2210000.0,440291783.0,"For 2021, the Group expects revenue growth from continuing operations, excluding the impact of the large ventilator contract received in 2020. Also, the Board expects to achieve further improvement in its gross margin for 2021 resulting from the anticipated increased contribution to Group revenue from its molecular diagnostics and NFV solutions.",
14,BIG,,,,,,,,,,,,,,,,,,
15,BIOLIGHT,2020,,,,,,,,,74951000.0,68147000.0,,,68147000.0,,,,
16,BRACK CAPITAL PROPERTIES,31 בדצמבר 2020,86801000.0,92695000.0,,,,,,,1663184000.0,878133000.0,102165000.0,579345000.0,804729000.0,,7731000.0,,
17,BRILL,31 בדצמבר 2020,426742.0,-3969.0,0.92,209657.0,13036.0,,,-69439.0,384501.0,226622.0,103788.0,137757.0,127892.0,,6032544.0,,
18,BRIMAG,"31 בדצמבר, 2020",506187000.0,49206000.0,,139164000.0,45768000.0,,,,384586000.0,161244000.0,102952000.0,62473000.0,223623000.0,15000000.0,10113000.0,,
19,BLADE RANGER,31 בדצמבר 2020,,6134000.0,1.2,,4855000.0,3085000.0,-4000.0,25103000.0,26098000.0,3224000.0,,,22874000.0,,5104703.0,,
20,BONUS BIOGROUP,2020,22240000.0,-22021000.0,-0.06,,,-15746000.0,-254000.0,4918000.0,51437000.0,20753000.0,,,30684000.0,,998981262.0,,
21,CAMTEK,"February 9, 2021",155859000.0,21778000.0,0.54,73231000.0,22624000.0,25800000.0,,,287908000.0,60644000.0,,3260000.0,227264000.0,,40372000.0,"Management expects continued revenue growth in the first quarter of 2021, with revenues of between $54-56 million. Management is anticipating revenues of over $110 million in the first half of 2021, implying at least 65% growth over the first half of 2020.",
22,CLAL BIOTECH,2020,246881000.0,109027000.0,0.68,,,,,,614031000.0,100240000.0,,,513791000.0,36000000.0,161235000.0,,
23,COMPUGEN,"February 25, 2021",2000000.0,-29700000.0,-0.37,1940000.0,-31496000.0,,,,138316000.0,18534000.0,,,119782000.0,,79591187.0,,
24,CANNABOTECH,,,,,,,,,,,,,,,,,,
25,DISCOUNT INVESTMENTS,31 בדצמבר 2020,5091000.0,337000.0,,,1291000.0,5427000.0,-2261000.0,500000.0,18984000.0,266311.0,3266000.0,8741000.0,3310000.0,,,,
26,DAN HOTELS,2020,747844.0,-129194.0,,159655.0,-120324.0,,,,2496868.0,1483135.0,459067.0,453341.0,1013733.0,19488699.0,,,
27,DELEK GROUP,"30 באוקטובר, 2020",1114000.0,-1252000.0,,,470000.0,,-168570000.0,168400000.0,256156000.0,677000.0,,189001000.0,126318000.0,,,,
28,DISCOUNT,2020,6987000.0,975000.0,0.84,,,,,,293969000.0,274242000.0,,,19727000.0,,1164017000.0,,
29,DORAL ENERGY,31 בדצמבר 2020,59232000.0,13877000.0,0.095,15518000.0,13868000.0,,-148344000.0,368520000.0,628939000.0,291962000.0,,29919000.0,337358000.0,,,במהלך השנה צפויה החברה לחבר לרשת החשמל שתי מערכות של ביו-גז ומערכות טורבינות רוח בינוניות.,
30,ELECTRA,2020,7715958.0,181202.0,44.84,649322.0,184935.0,,,,6632755.0,,,,,,,"69, 69.1.1",
31,ELECTRA POWER,"December 31, 2020",25868000.0,-4700000.0,,,10220000.0,21701000.0,-2200000.0,-18932000.0,282202000.0,218667000.0,,,63535000.0,,,,
32,EQUITAL,2020,1347755.0,300419.0,,,,2399746.0,1919025.0,,21129854.0,11737731.0,,,9392123.0,,,,
33,ECOPPIA,31 בדצמבר 2020,8046000.0,18888000.0,0.12,2300000.0,9121000.0,,-674000.0,105022000.0,111472000.0,4691000.0,,,106781000.0,,41226950.0,"ככל שפעילות החברה נמשכת, והחברה צפויה להגדיל את פעילותיה בעתיד",
34,ELBIT IMAGING,2020,,388278.0,25.76,,,-15649.0,-21287.0,126959.0,101836.0,7560.0,,,94447.0,,,,
35,ELBIT SYSTEMS,"March 24, 2021",4700000000.0,237700000.0,5.38,357800000.0,104600000.0,278800000.0,-22867000.0,-198233000.0,8057897000.0,5826530000.0,312993000.0,408820000.0,2218154000.0,0.44,44198000.0,"The Company's management to make strategic decisions, forecast future results and evaluate the Company's current performance",
