,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AERODROME GROUP,30 ביוני 2023,24473000.0,-10897000.0,-0.14,8257000.0,-11819000.0,-5405.0,9007.0,-1969.0,62952000.0,19560000.0,3324000.0,5961000.0,43392000.0,,,,
1,ALLOT,"August 31, 2023",25047000.0,-20732000.0,-0.55,17340000.0,-21492000.0,-11327000.0,12192000.0,15000.0,177764000.0,76066000.0,,,101973000.0,,37743328.0,"Full-year 2023 revenues of $95 million to $110 million (of which SECaaS revenues are expected to be approximately $11 million); Full year 2023 operating loss of between $38 million and $44 million (includes a $14.1 million provision for credit losses from two customers in Africa); Full year 2023 negative cash flow of between $24 million and $44 million; December 2023 total ARR*, including SECaaS ARR* and Support & Maintenance ARR*, is expected to be between $51 million and $55 million; Reiterates expectations to be profitable in 2024",
2,ALMOGIM,30/06/2023,,,,,,,,,,,,,,,,,
3,ALUMA INFRASTRUCTURES,"June 30, 2023",,,,,,,,,,,,,,,,,
4,AMOT,"June 30, 2023",481075000.0,323099000.0,85.8,,,499313000.0,,,20159842000.0,,,,8720489000.0,127000000.0,469943000.0,"Revenue: 980,000,000 to 1,000,000,000
EPS: 166 to 170",
5,AQUARIUS ENGINES,30 ביוני 2023,,,0.8,,,-20121.0,15605.0,4217.0,37861.0,7406.0,,,30455.0,,,,
6,AUGWIND,30 ביוני 2023,4256000.0,-77448000.0,,-2139000.0,78011000.0,,,,115485000.0,14766000.0,10582000.0,911000.0,90137000.0,,,,
7,AURA,30 ביוני 2023,538192000.0,48149000.0,,82485000.0,72893000.0,,-18718000.0,195399000.0,2756530000.0,1846953000.0,,,695861000.0,8000000.0,,,
8,AVERBUCH,30 ביוני 2023,9942000.0,270000.0,0.25,3675000.0,713000.0,8266000.0,-738000.0,-738000.0,104533000.0,22748000.0,12588000.0,4255000.0,77530000.0,,,,
9,ACCEL,30 ביוני 2023,208311000.0,7490000.0,0.058,41338000.0,3595000.0,-6449000.0,-2057000.0,-62000.0,196072000.0,67289000.0,,,118092000.0,,,"The company is implementing a strategy to expand its business, including through acquisitions and winning tenders for communication products. Results include expenses for the company's growth and are expected to be realized in the future.",
10,AFRICA ISRAEL RESIDENCES,30 ביוני 2023,325369000.0,40034000.0,5.0,75675000.0,61205000.0,,,-209066000.0,3863259000.0,2465230000.0,462937000.0,691254000.0,1398029000.0,22000000.0,12643536.0,,
11,AIRTOUCH,30 ביוני 2023,3344000.0,-12253000.0,0.34,-2697000.0,-16982000.0,-12183000.0,-1206000.0,-2947000.0,53714000.0,20348000.0,9395000.0,10953000.0,33366000.0,,35565200.0,,
12,ALARUM,24 באוגוסט 2023,7000000.0,-7700000.0,-0.23,53671.0,10845.0,9079.0,-1890.0,-21680.0,14130000.0,8006000.0,3537.0,67534.0,6124000.0,,,,
13,ALBAAD,"30 ביוני, 2023",732281000.0,8041000.0,0.43,134314000.0,23648000.0,,-30067000.0,-47409000.0,1588941000.0,919416000.0,415359000.0,154078000.0,378842000.0,,,צפוי שיעור האינפלציה בשנת 2023 לעמוד על כ- 3.5%,
14,ALMEDA PARTICIPATION UNIT,30 ביוני 2023,887000.0,-641000.0,-0.08,,,-1459000.0,-2153000.0,59000.0,26287000.0,348000.0,,,25892000.0,,,,
15,AMIAD,"June 30, 2023",64850000.0,4684000.0,0.138,27176000.0,8174000.0,-3965000.0,-2200000.0,2695000.0,141913000.0,75511000.0,,40597000.0,86691000.0,,30416487.0,,
16,ASPEN GROUP,30 ביוני 2023,166274000.0,-81972000.0,,85682000.0,,24186000.0,-316449000.0,3503000.0,5383899000.0,3760050000.0,,3018417000.0,1623849000.0,,63524000.0,3.4% (Inflation forecast in 2023).,
17,AURA SMART AIR,"June 30, 2023",5570000.0,-7689000.0,-0.32,1282000.0,-6772000.0,246000.0,-690000.0,-1985000.0,13143000.0,7620000.0,1933000.0,2447000.0,-1630000.0,,24085371.0,,
18,BATM,29 August 2023,60200000.0,71000.0,,21300000.0,2200000.0,500000.0,-1702000.0,-35000.0,174550000.0,58430000.0,5625000.0,3411000.0,117097000.0,,436039124.0,"The Group expects to deliver year-on-year growth in Networking as revenue from the Group's carrier ethernet and Edgility solutions continue to increase. Cyber revenues are expected to be higher in the second half than in the first half as the Group ramps up delivery of the large contract signed in H1 2023. The Group also remains confident of securing further cyber orders in the near term. BATM expects Diagnostics to return to growth in the second half compared with the first half, as it delivers on orders received during the year. The Distribution and Eco-Med businesses are also expected to deliver an increase in revenue over the previous year. As a result, the Group is on track to report year-on-year growth for FY 2023, in line with market expectations.",
19,BET SHEMESH,2023,51592000.0,3007000.0,0.36,7965000.0,5021000.0,10553000.0,-2393000.0,-3657000.0,264961000.0,264961000.0,45310000.0,28503000.0,142483000.0,,,,
20,BIOLIGHT,30 ביוני 2023,,-8687000.0,-1.71,,-8760000.0,-5296000.0,-20645000.0,3258000.0,57011000.0,13012000.0,,,37799000.0,,4566803.0,,
21,BLADE RANGER,30 ביוני 2023,485000.0,,0.89,,,,,128000.0,9706000.0,9706000.0,,,6976000.0,,,,
22,BRACK CAPITAL PROPERTIES,"30 ביוני, 2023",59887000.0,-177194000.0,,,-136565000.0,71103000.0,9206000.0,-16133000.0,1566554000.0,832313000.0,7762000.0,301947000.0,609830000.0,,,,
23,BAZAN,2023,4041000000.0,263000000.0,0.138,,397000000.0,,,487000000.0,4072744000.0,2283144000.0,266278000.0,741000000.0,1789600000.0,200000000.0,,,
24,BONUS BIOGROUP,30 ביוני 2023,,-38703000.0,-0.06,,-37047000.0,-14678000.0,-6293000.0,2135000.0,74610000.0,18221000.0,,10598000.0,56389000.0,,,,
25,BUBBLES,30 ביוני 2023,30819000.0,2171000.0,0.026,18291000.0,3975000.0,-944.0,-5301000.0,5515000.0,76142000.0,53077000.0,20964000.0,7003000.0,23065000.0,,,,
26,BULIGO,30 ביוני 2023,42692000.0,19089000.0,0.346,,,30265000.0,-24583000.0,-4091000.0,64370000.0,3744000.0,,,60626000.0,,,,
27,C-LAB,30 ביוני 2023,119293.0,6984.0,0.8235,37703.0,6662.0,11588.0,-895.0,7000.0,125655.0,65128.0,7000.0,0.0,60527.0,,,,
28,CAMTEK,"July 31, 2023",73800000.0,18539000.0,0.38,34973000.0,14933000.0,15600000.0,,,709656000.0,283249000.0,,196284000.0,426407000.0,,48628000.0,Management expects third quarter revenues to be $77-79 million with continued growth in the fourth quarter and into 2024.,
29,CAN FITE BIOFARMA,"August 31, 2023",392000.0,-4220000.0,-0.0,,-4496000.0,-5045000.0,-1002000.0,6527000.0,11032000.0,4982000.0,,22000.0,6874000.0,,1202110110.0,"The Company's consolidated financial results for the six months ended June 30, 2023 are presented in accordance with US GAAP Reporting Standards.",
30,CLAL BIOTECH,30 ביוני 2023,,-2777000.0,-0.32,1963000.0,-8371000.0,-4599000.0,-33521000.0,23848000.0,64366000.0,29437000.0,,,34929000.0,,8803000.0,,
31,COMPUGEN,"August 7, 2023",,-9276000.0,-0.11,,-9325000.0,-18617000.0,23531000.0,1351000.0,77055000.0,10801000.0,,,62001000.0,,87182839.0,The Company expects its existing cash and cash related balances to be sufficient to fund its operating plan into at least the end of 2024,
