,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AFI PROPERTIES,2024-09-30,398797000.0,346614000.0,17.43,262004000.0,222665000.0,,,,21884245000.0,,,10148843000.0,,,38056400.0,,
1,ACCEL,2024-09-30,,,0.033,,,,,,,,,,,,164755008.0,,
2,ACKERSTEIN GROUP,2024-09-30,252641000.0,57388000.0,0.43,73334000.0,36025000.0,,,,1899169000.0,,,81131000.0,,,288060992.0,,
3,ADGAR INVESTMENTS,2024-09-30,86854000.0,2187000.0,-0.04,73847000.0,60858000.0,,,,5740718000.0,,,2823682000.0,,,164856000.0,,
4,AERODROME GROUP,2024-09-30,,,-0.25,,,,,,,,,,,,91569504.0,,
5,AFCON HOLDINGS,2024-09-30,458040000.0,14144000.0,11.74,63269000.0,27607000.0,,,,1833284000.0,,,415364000.0,,,5305950.0,,
6,AFRICA ISRAEL RESIDENCES,2024-09-30,257498000.0,37538000.0,17.16,64514000.0,47477000.0,,,,4319464000.0,,,650879000.0,,,12655200.0,,
7,AIRPORT CITY,2024-09-30,280998000.0,167934000.0,3.46,205370000.0,184546000.0,,,,18760723000.0,,,5518518000.0,,,116571000.0,,
8,AIRTOUCH,2024-09-30,,,-0.491,,,,,,,,,,,,36461300.0,,
9,ALARUM,2024-09-30,7194000.0,4249000.0,0.31,5165000.0,1064000.0,,,,33271000.0,,,82000.0,,,69525904.0,,
10,ALBAAD,2024-09-30,451232000.0,12118000.0,2.31,94143000.0,33199000.0,,,,1574405000.0,,,164263000.0,,,18647500.0,,
11,ALLOT,2024-09-30,23235000.0,-244000.0,-0.59,16364000.0,-217000.0,,,,139454000.0,,,39923000.0,,,39692800.0,,
12,ALMEDA PARTICIPATION UNIT,2024-09-30,,,,,,,,,,,,,,,14775500.0,,
13,ALMOGIM,2024-09-30,,,0.05,,,,,,,,,,,,43173600.0,,
14,ALONY HETZ,2024-09-30,570538000.0,43362000.0,-1.81,482930000.0,346204000.0,,,,39258493000.0,,,19679081000.0,,,215032992.0,,
15,ALROV PROPERTIES,2024-09-30,344461000.0,116594000.0,14.42,140074000.0,100413000.0,,,,18271415000.0,,,6384986000.0,,,20603500.0,,
16,ALUMA INFRASTRUCTURES,2024-09-30,,,,,,,,,,,,,,,307392000.0,,
17,AMIR MARKETING,2024-09-30,324956000.0,5715000.0,3.57,44274000.0,9691000.0,,,,898847000.0,,,,,,64021400.0,,
18,AMOT,2024-09-30,296006000.0,351116000.0,1.95,255525000.0,238203000.0,,,,20684911000.0,,,8621455000.0,,,471550016.0,,
19,APOLLO POWER,2024-09-30,3790000.0,-21886000.0,-1.58,562000.0,-20848000.0,,,,267500000.0,,,,,,64094000.0,,
20,ARAD,2024-09-30,98487000.0,6039000.0,3.83,29332000.0,8883000.0,,,,365138000.0,,,30393000.0,,,24730700.0,,
21,ARBE ROBOTICS,2024-09-30,123000.0,-12574000.0,-2.38,-271000.0,-12447000.0,,,,55466000.0,,,,,,105163000.0,,
22,ASHDOD REFINERY,2024-09-30,844000000.0,-14000000.0,-10.51,4000000.0,-2000000.0,,,,1319000000.0,,,173000000.0,,,12493800.0,,
23,ASHOT,2024-09-30,100082000.0,11374000.0,2.01,22604000.0,14738000.0,,,,788259000.0,,,,,,23917100.0,,
24,ASHTROM GROUP,2024-09-30,1090463000.0,7671000.0,1.67,261581000.0,137863000.0,,,,21633759000.0,,,11590519000.0,,,111502000.0,,
25,ASPEN GROUP,2024-09-30,53701000.0,-20912000.0,-0.6,40266000.0,34663000.0,,,,3839691000.0,,,1762088000.0,,,64292300.0,,
