,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AI SYSTEMS,"June 30, 2022",0.0,-3560000.0,-0.18,,,-2198000.0,43000.0,1928000.0,3488000.0,7220000.0,,7097000.0,-5025000.0,,9784976.0,"The company expects to need, in the foreseeable future, additional sources of funding, such as raising capital from interested parties, foreign capital and developing a business plan that will generate income for the company in a way that significantly improves cash flow. If no sources of financing are found, significant doubts may arise about the company's continued existence as a 'going concern.",
1,AUGWIND,30 June 2022,1763000.0,-68642000.0,,-5581000.0,-68208000.0,,3463000.0,9195000.0,158004000.0,30674000.0,,,127330000.0,,,The Company expects first installations of a commercial water compressor system to take place after the conclusion of research in the coming year.,
2,AURA,"June 30, 2022",420944000.0,80669000.0,0.3154,68993000.0,106597000.0,128478000.0,-144216000.0,13734000.0,2392150000.0,1707777000.0,415194000.0,55981000.0,614214000.0,-8000000.0,,"The company expects to recognize a total gross profit of approximately 1,014 million NIS between the years 2022-2026, with the progress of construction in the projects.",
3,ACRO GROUP,"June 30, 2022",428000000.0,49000000.0,0.475,76000000.0,82000000.0,2800000.0,-424000000.0,537000000.0,4670000000.0,2887821000.0,370000000.0,1343909000.0,1508000000.0,25000000.0,,,
4,ADGAR INVESTMENTS,"June 30, 2022",,,,,,,,,5393986000.0,3968781000.0,,,1425205000.0,29600000.0,,"245,000,000-250,000,000 to 265,000,000-275,000,000 NOI, 100,000,000-105,000,000 to 110,000,000-120,000,000 FFO",
5,AERODROME GROUP,"June 30, 2022",14052000.0,-3138000.0,-0.12,5072000.0,-9658000.0,-4655000.0,-19766000.0,39549000.0,74540000.0,21259000.0,3158000.0,1414000.0,53281000.0,,,"The customer and the company are now in negotiations on a long-term engagement. As far as the company knows, the customer chose the company for the engagement and if the negotiations with the customer materialize into an engagement, the company expects that this engagement will be during 2023.",
6,AIRPORT CITY,30.6.2022,823883000.0,1426069000.0,11.28,618722000.0,,571440000.0,-668247000.0,-341470000.0,16947038000.0,8000994000.0,,,8946044000.0,,,,
7,AIRTOUCH,"June 30, 2022",10453000.0,-16934000.0,0.49,-3399000.0,,-26864000.0,-3941000.0,80284000.0,78220000.0,16158000.0,,,62062000.0,,34461595.0,,
8,ALBAAD,"June 30, 2022",1485911000.0,-20979000.0,-2.03,270700000.0,28068000.0,52579000.0,-3025000.0,-7142000.0,1574253000.0,1152071000.0,301067000.0,83612000.0,422182000.0,,,"The company is working to submit a shelf prospectus, and to raise capital by $50 million through rights issues.",
9,ALMOGIM,"June 30, 2022",282932000.0,41664000.0,,83450000.0,,,,,1041503000.0,833663000.0,,,207840000.0,23295000.0,,,
