,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AFI PROPERTIES,2024-06-30,370277000.0,72554000.0,17.43,243412000.0,209660000.0,,,,20433375000.0,,,9858584000.0,,,38056400.0,,
1,ACCEL,2024-06-30,,,0.033,,,,,,,,,,,,164755008.0,,
2,ACKERSTEIN GROUP,2024-06-30,214405000.0,14420000.0,0.43,54764000.0,21727000.0,,,,1814478000.0,,,87402000.0,,,288060992.0,,
3,ADGAR INVESTMENTS,2024-06-30,82257000.0,-21097000.0,-0.04,69958000.0,57061000.0,,,,5922568000.0,,,3209859000.0,,,164856000.0,,
4,AERODROME GROUP,2024-06-30,,,-0.25,,,,,,54794000.0,,,26000.0,,,91569504.0,,
5,AFCON HOLDINGS,2024-06-30,448794000.0,7931000.0,11.74,56885000.0,21752000.0,,,,1870599000.0,,,380213000.0,,,5305950.0,,
6,AFRICA ISRAEL RESIDENCES,2024-06-30,244366000.0,33922000.0,17.16,59738000.0,44343000.0,,,,4232077000.0,,,588616000.0,,,12655200.0,,
7,AIRPORT CITY,2024-06-30,262573000.0,73841000.0,3.46,203622000.0,188763000.0,,,,18245017000.0,,,5247094000.0,,,116571000.0,,
8,AIRTOUCH,2024-06-30,,,-0.491,,,,,,,,,,,,36461300.0,,
9,ALARUM,2024-06-30,8884000.0,-351000.0,0.31,6833000.0,2679000.0,,,,31509000.0,,,398000.0,,,69525904.0,,
10,ALBAAD,2024-06-30,440017000.0,14585000.0,2.31,93063000.0,33790000.0,,,,1547082000.0,,,109817000.0,,,18647500.0,,
11,ALLOT,2024-06-30,22164000.0,-3356000.0,-0.59,15175000.0,-3366000.0,,,,132489000.0,,,39873000.0,,,39692800.0,,
12,ALMEDA PARTICIPATION UNIT,2024-06-30,,,,,,,,,,,,,,,14775500.0,,
13,ALMOGIM,2024-06-30,,,0.05,,,,,,,,,,,,43173600.0,,
14,ALONY HETZ,2024-06-30,557722000.0,-139790000.0,-1.81,479373000.0,365019000.0,,,,38097464000.0,,,19303048000.0,,,215032992.0,,
15,ALROV PROPERTIES,2024-06-30,310913000.0,-148542000.0,14.42,116062000.0,78530000.0,,,,17525104000.0,,,6351510000.0,,,20603500.0,,
16,ALUMA INFRASTRUCTURES,2024-06-30,,,,,,,,,,,,,,,307392000.0,,
17,AMIR MARKETING,2024-06-30,345687000.0,13488000.0,3.57,51415000.0,17289000.0,,,,920689000.0,,,,,,64021400.0,,
18,AMOT,2024-06-30,292395000.0,165814000.0,1.95,249459000.0,232332000.0,,,,20682675000.0,,,8900859000.0,,,471550016.0,,
19,APOLLO POWER,2024-06-30,3428000.0,-19379000.0,-1.58,653000.0,-18539000.0,,,,281825000.0,,,,,,64094000.0,,
20,ARAD,2024-06-30,97300000.0,6258000.0,3.83,29119000.0,9452000.0,,,,356885000.0,,,34449000.0,,,24730700.0,,
21,ARBE ROBOTICS,2024-06-30,409000.0,-11746000.0,-2.38,-39000.0,-11614000.0,,,,63325000.0,,,,,,105163000.0,,
22,ASHDOD REFINERY,2024-06-30,868000000.0,7000000.0,-10.51,19000000.0,13000000.0,,,,1366000000.0,,,171000000.0,,,12493800.0,,
23,ASHOT,2024-06-30,87976000.0,12328000.0,2.01,18761000.0,12028000.0,,,,693448000.0,,,,,,23917100.0,,
24,ASHTROM GROUP,2024-06-30,1066018000.0,6081000.0,1.67,238234000.0,117508000.0,,,,21196624000.0,,,11075799000.0,,,111502000.0,,
25,ASPEN GROUP,2024-06-30,59750000.0,-43077000.0,-0.6,41002000.0,32319000.0,,,,5405143000.0,,,2851967000.0,,,64292300.0,,
26,AUDIOCODES,2024-06-30,60303000.0,3774000.0,1.95,39475000.0,4936000.0,,,,329763000.0,,,,,,29473100.0,,
27,AURA SMART AIR,2024-06-30,,,,,,,,,,,,,,,2522720.0,,
28,AUTOMAX,2024-06-30,101481000.0,-1104000.0,-0.04,10797000.0,1096000.0,,,,316120000.0,,,33435000.0,,,103692000.0,,
29,AVGOL,2024-06-30,85432000.0,1749000.0,-0.01,12290000.0,4902000.0,,,,447405000.0,,,105426000.0,,,304222016.0,,
30,AVIATION LINKS,2024-06-30,,,-0.248,,,,,,,,,,,,7657120.0,,
31,AXILION,2024-06-30,,,-0.58,,,,,,31796000.0,,,,,,30203100.0,,
