,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,LUZON GROUP,"March 31, 2021",,-671000.0,-0.42,,,-2738000.0,922000.0,2123000.0,119617000.0,37466000.0,13725000.0,350000.0,81801000.0,,,,
1,ACCEL,"March 31, 2021",21176000.0,297000.0,0.001,4179000.0,,-4652000.0,-8180000.0,20135000.0,129633000.0,78071000.0,608000.0,1316000.0,68905000.0,,,,
2,AFI PROPERTIES,2021-03-31,,50300000.0,,,,,,,13645274000.0,,,,4280821000.0,,,,
3,AIRPORT CITY,31.3.2021,,191952000.0,1.5,610012000.0,337388000.0,,,,15260519000.0,7580465000.0,1329952000.0,4041292000.0,7477794000.0,,,The Company cannot estimate the full impact of the corona pandemic on its 2021 activities.,
4,ALBAAD,"March 31, 2021",371345000.0,32419000.0,3.05,97596000.0,43640000.0,,,,1482447000.0,965457000.0,,,516990000.0,,,,
5,ALLOT,"March 31, 2021",31183000.0,-3958000.0,-0.11,21592000.0,-3768000.0,5723000.0,-23733000.0,1559000.0,210374000.0,82371000.0,2602000.0,1035000.0,128003000.0,,35535493.0,"Management continues to expect 2021 revenues to grow to between $145,000,000 - $150,000,000",
6,ALMOGIM,"March 31, 2021",70377000.0,8928000.0,0.25,7719000.0,7519000.0,28765000.0,373000.0,-9212000.0,676619000.0,291159000.0,34267000.0,157681000.0,139182000.0,6000000.0,,,
7,ALONY HETZ,"March 31, 2021",,156886000.0,0.61,,,77000000.0,-466000000.0,1164000000.0,27107672000.0,,,,6531795000.0,,172859000.0,"The information about the expected NOI, is forward-looking information as defined in the Securities Law, 1968. Such information is based on forward-looking data and estimates of the Carr management and there is no certainty that they will be fully or partially realized due to factors that are not under the control of Carr or the Company.",
8,AMOT,"March 31, 2021",,101742000.0,0.308,,,,,,14874832000.0,7722655000.0,530574000.0,6264113000.0,6323766000.0,,409902000.0,"NOI between 735,000,000 and 765,000,000 ILS and FFO between 535,000,000 and 555,000,000 ILS",
9,APOLLO POWER,"March 31, 2021",237000.0,-6270000.0,-0.2,95000.0,,-4228000.0,-1026000.0,185000.0,32916000.0,14093000.0,,,18823000.0,,,,
10,ARAD INVESTMENT,"March 31, 2021",749019000.0,100807000.0,,,,35400000.0,-58200000.0,-204400000.0,9756025000.0,5407425000.0,,,4348600000.0,,,"The administration of MLM team continues to monitor the changes and developments regarding the effects of the Corona crisis on the business activity of the MLM team group, when according to its assessment as of the date of the report, as long as the trend of recovery of the economy from the crisis continues, it is not expected to have a material impact The corona on MLM team profitability during 2021.",
