,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AFI PROPERTIES,2025-04-16,1161287000.0,585488000.0,17.43,568431000.0,517823000.0,,,,17449242000.0,,,8205349000.0,,,38056400.0,,
1,ACCEL,2025-04-16,,,0.033,,,,,,,,,,,,164755008.0,,
2,ACKERSTEIN GROUP,2025-04-16,782253000.0,75621000.0,0.43,212180000.0,77663000.0,,,,1933864000.0,,,134945000.0,,,288060992.0,,
3,ADGAR INVESTMENTS,2025-04-16,302934000.0,-5434000.0,-0.04,267676000.0,219796000.0,,,,5461724000.0,,,3015458000.0,,,164856000.0,,
4,AERODROME GROUP,2025-04-16,24473000.0,-10897000.0,-0.25,8257000.0,-10858000.0,,,,62952000.0,,,325000.0,,,91569504.0,,
5,AFCON HOLDINGS,2025-04-16,2093575000.0,-53824000.0,11.74,140856000.0,-1367000.0,,,,1862606000.0,,,410218000.0,,,5305950.0,,
6,AFRICA ISRAEL RESIDENCES,2025-04-16,962543000.0,201503000.0,17.16,223745000.0,164026000.0,,,,4024320000.0,,,759183000.0,,,12655200.0,,
7,AIRPORT CITY,2025-04-16,903333000.0,616344000.0,3.46,687781000.0,630214000.0,,,,18501169000.0,,,5348636000.0,,,116571000.0,,
8,AIRTOUCH,2025-04-16,,,-0.491,,,,,,,,,,,,36461300.0,,
9,ALARUM,2025-04-16,18550000.0,-13151000.0,0.31,10148000.0,-12082000.0,,,,22371000.0,,,606000.0,,,69525904.0,,
10,ALBAAD,2025-04-16,1453877000.0,-144500000.0,2.31,235002000.0,11853000.0,,,,1596590000.0,,,73151000.0,,,18647500.0,,
11,ALLOT,2025-04-16,122737000.0,-32030000.0,-0.59,82906000.0,-32269000.0,,,,212953000.0,,,39575000.0,,,39692800.0,,
12,ALMEDA PARTICIPATION UNIT,2025-04-16,,,,,,,,,,,,,,,14775500.0,,
13,ALMOGIM,2025-04-16,501971000.0,77762000.0,0.05,141277000.0,116606000.0,,,,,,,,,,43173600.0,,
