,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,ADGAR INVESTMENTS,31 במרס 2023,285687000.0,-5434000.0,-0.03,,,29194000.0,-56197000.0,59552000.0,5654079000.0,3340919000.0,925162000.0,1830691000.0,1387998000.0,15200000.0,,"255,000,000 - 265,000,000",
1,AFI PROPERTIES,15th May 2023,,,,,,,,,,,,,,,,,
2,AIRPORT CITY,31.3.2023,226637000.0,73036000.0,0.57,185186000.0,167316000.0,,-198962000.0,-609322000.0,18083957000.0,8386052000.0,,,9697905000.0,,,,
3,ALMOGIM,31 במרס 2023,103497000.0,77762000.0,1.92,149776000.0,124505000.0,,-420900000.0,-85183000.0,1333374000.0,1096599000.0,6306000.0,,236775000.0,20000000.0,,,
4,DOR ALON,31 במרץ 2023,17458000.0,5266000.0,0.35,,8025000.0,,1800000.0,-4200000.0,210366000.0,107963000.0,22526000.0,53466000.0,105408000.0,,14038000.0,,
5,AMOT,31 במרץ 2023,282385000.0,110525000.0,42.4,,230152000.0,,-152063000.0,-502866000.0,19912694000.0,10380512000.0,900290000.0,7578040000.0,8631892000.0,127000000.0,,"970,000,000-1,000,000,000",
6,AVGOL,31 במרץ 2023,80040000.0,810000.0,0.093,11859000.0,4033000.0,14643000.0,-11776000.0,-6225000.0,462047000.0,256148000.0,121686000.0,128000000.0,205526000.0,,,,
7,ABRA,"31 במרס, 2023",104084.0,4436.0,0.5,26775.0,5868.0,6674.0,-2497.0,-9706.0,508470.0,252773.0,18340.0,59105.0,248599.0,,,,
8,ACCEL,31 במרץ 2023,,,,,,,,,,,,,,,,,
9,AFRICA ISRAEL RESIDENCES,31 במרץ 2023,231000000.0,23000000.0,,52000000.0,38000000.0,,,,3898299000.0,2523654000.0,1849355000.0,674299000.0,1374645000.0,18000000.0,12643536.0,,
10,ALBAAD,"31 במרץ, 2023",354708000.0,1419000.0,0.04,67834000.0,15166000.0,,-30364000.0,20464000.0,1643359000.0,950753000.0,382608000.0,180885000.0,366565000.0,,,,
