,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,BEZEQ,"13 בנובמבר, 2023",,951000000.0,0.34,,951000000.0,,,,14889000000.0,12947000000.0,,7708000000.0,1942000000.0,,,עדכון פרק א' (תיאור עסקי התאגיד) לדוח תקופתי לשנת 2022 - תחזית עודכנה.,
1,ACCEL,30 בספטמבר 2023,201100.0,7265.0,0.047,37288.0,5379.0,9533.0,-7100.0,-2593.0,223415.0,223415.0,19620.0,7758.0,127193.0,,,,
2,ADGAR INVESTMENTS,2023-09-30,285687000.0,-27849000.0,,,50639000.0,97817000.0,-181971000.0,-82025000.0,5461724000.0,3302479000.0,,3098438000.0,1372514000.0,,,"275,000,000 - 285,000,000",
3,AFI PROPERTIES,20th November 2023,,,,,,,,,,,,,,,,,
4,AIRPORT CITY,30.9.2023,703954.0,255452.0,2.01,601516.0,519000000.0,,-198962.0,-440238.0,18563408.0,8664817.0,,,9898591.0,,,"2.9%, 2.7% and between 2.0%-3.3%",
5,ALMOGIM,30.9.2023,258714.0,77762.0,,,,,,,1292180.0,1053690.0,5652.0,160564.0,238490.0,20000.0,37418916.0,,
6,AMOT,30 September 2023,1063905000.0,449467000.0,128.7,,687578000.0,,-541308000.0,30147000.0,19931273000.0,10198481000.0,750256000.0,7362297000.0,8722522000.0,381000000.0,469757000.0,"The company expects NOI to range from 970,000,000 to 1,000,000,000 for 2023. FFO to range from 770,000,000 to 800,000,000. FFO per share of 163-169 cents per share.",
7,AURA,30.9.2023,764447000.0,74917000.0,,123732000.0,103090000.0,,,,3082402000.0,,,,808422000.0,,,,
8,ABRA,30 בספטמבר 2023,310176.0,6771.0,,81408.0,18006.0,20247.0,-5016.0,-28566.0,498375.0,242348.0,21025.0,46943.0,256027.0,,,,
9,AFRICA ISRAEL RESIDENCES,30 בספטמבר 2023,302484000.0,96473000.0,,190229000.0,146299000.0,,,,3669584000.0,2259762000.0,,,1409822000.0,58004000.0,,,
10,ALARUM,"November 28, 2023",6700000.0,1100000.0,0.03,5207000.0,,,,,17094000.0,6149000.0,,733000.0,10945000.0,,,,
11,ALBAAD,"30 בספטמבר, 2023",1291570000.0,18504000.0,0.95,253117000.0,68166000.0,,-30364000.0,-91798000.0,1636642000.0,749425000.0,409515000.0,184593000.0,392496000.0,,,,
12,ALLOT,"November 16, 2023",22600000.0,-12361000.0,-0.32,10470000.0,-12663000.0,-4428000.0,10463000.0,1000.0,157826000.0,99100000.0,1999000.0,39723000.0,65158000.0,,38173533.0,Fourth quarter of 2023 revenues of $20 million to $25 million,
13,AMIAD,30 בספטמבר 2023,121000000.0,4688000.0,,49746000.0,11102000.0,2917000.0,-1204000.0,-3935000.0,131434000.0,44743000.0,15009000.0,16578000.0,86691000.0,,,2.7 סיכון תנודות בשיעור האינפלציה ושיעורי הריבית,
14,ASPEN GROUP,30 בספטמבר 2023,282914000.0,-97187000.0,,134606000.0,,55790000.0,-583109000.0,584238000.0,5391843000.0,3783771000.0,796300000.0,2987471000.0,1608072000.0,19000000.0,,תוצר יצמח בשיעור של כ-2.3% וב-2.8% בשנים 2023 ו-2024,
15,AUDIOCODES,"November 2, 2023",61600000.0,4300000.0,0.14,40937000.0,5779000.0,178000.0,5864000.0,-14588000.0,329486000.0,86923000.0,,,179221000.0,5700000.0,31374000.0,,
16,BAREKET,30 בספטמבר 2023,79243000.0,10625000.0,0.2,,32299000.0,,-44000.0,-5615000.0,982750000.0,881908000.0,,,100842000.0,,54018100.0,,
17,BET SHEMESH,2023,53279000.0,51225000.0,6.64,9076000.0,6228000.0,,-4704000.0,-5292000.0,272569000.0,87490000.0,29734000.0,26050000.0,148924000.0,44048000.0,,,
18,BRILL,30/09/2023,390901000.0,-10400000.0,-1.72,203939000.0,5743000.0,30100000.0,-12100000.0,-13800000.0,633856000.0,433937000.0,112030000.0,201266000.0,145817000.0,15100000.0,,,
19,BONUS BIOGROUP,"30 בספטמבר, 2023",,,-0.05,,,-22678.0,-5594.0,2303.0,74610.0,18221.0,,,36755.0,,,,
20,BRACK CAPITAL PROPERTIES,"30 בספטמבר, 2023",59887000.0,-177194000.0,-22.06,49792000.0,31198000.0,,-569000.0,65759000.0,1299935000.0,677672000.0,8743000.0,343362000.0,622263000.0,,,,
21,BULIGO,30 בספטמבר 2023,,19089000.0,0.346,,26511000.0,30265000.0,-24583000.0,-4091000.0,64370000.0,3744000.0,3139000.0,,60626000.0,-4000000.0,,,
