,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AFI PROPERTIES,"March 31, 2022",555499000.0,787335000.0,21.83,60526000.0,1041670000.0,533731000.0,-1573698000.0,1516508000.0,14018293000.0,1675730000.0,,4255565000.0,4466683000.0,,,לקראת סוף שנת 2022 על בסיס ההנחות המפורטות,
1,ABRA,"March 31, 2022",75613000.0,212000.0,-0.003,21750000.0,2212000.0,33832000.0,-2588000.0,37909000.0,208837000.0,104608000.0,6710000.0,48937000.0,187416000.0,,,,
2,ACKERSTEIN GROUP,"March 31, 2022",169599000.0,9635000.0,0.034,46196000.0,14382000.0,30923000.0,-4214000.0,-37429000.0,1662615000.0,410477000.0,80181000.0,165570000.0,961178000.0,,287510000.0,"The group's revenue in the first quarter of 2022 amounted to NIS 169,599,000 , an increase of 9.6%.",
3,ACRO GROUP,"March 31, 2022",230617000.0,36373000.0,0.48,,48657000.0,,,,4459431000.0,2701162000.0,,,1758269000.0,25000000.0,38577244.0,,
4,ADGAR INVESTMENTS,2022-03-31,277684000.0,202245000.0,1.23,,,96076000.0,-164225000.0,-23054000.0,5226549000.0,3844833000.0,419316000.0,3140932000.0,1367087000.0,-15100000.0,,"Revenue: 255,000,000-265,000,000
FFO: 110,000,000-120,000,000",
5,AFCON HOLDINGS,"March 31, 2022",545100000.0,-4700000.0,0.81,42200000.0,6100000.0,-104400000.0,-49300000.0,25142000.0,1867900000.0,523000000.0,249756000.0,29264000.0,505200000.0,,,"The management and board of directors assess, as of the date of approval of the financial statements, that the Company's plan will allow it to meet its obligations on time in the foreseeable future.",
6,AFRICA ISRAEL RESIDENCES,"March 31, 2022",175573000.0,18655000.0,1.48,35357000.0,22307000.0,,,,4037299000.0,2802038000.0,,,1235261000.0,30000000.0,12643536.0,,
7,ALLOT,"May 17, 2022",31900000.0,-6127000.0,-0.17,22104000.0,-5652000.0,-6803000.0,-23697000.0,39661000.0,236344000.0,121406000.0,,39426000.0,114938000.0,,36539247.0,"Revenues to be between 135,000,000-140,000,000",
8,ALMEDA PARTICIPATION UNIT,2022-03-31,1597000.0,-341000.0,0.01,,,,,,27915000.0,545000.0,,164000.0,27370000.0,,,,
9,ALMOGIM,"March 31, 2022",140760000.0,58239000.0,1.56,36088000.0,,,,,1079157000.0,895187000.0,,,183970000.0,23295000.0,,,
10,DOR ALON,"March 31, 2022",17458000.0,5266000.0,0.35,13310000.0,8025000.0,8000000.0,-6500000.0,-5600000.0,228497000.0,141721000.0,,68468000.0,86776000.0,,14038000.0,,
11,ALONY HETZ,"March 31, 2022",989381000.0,265961000.0,0.64,,,,-4571000000.0,2870000000.0,31956592000.0,,,,,0.3,,,
12,ALROV PROPERTIES,"March 31, 2022",,4000000.0,,,,55000000.0,,,14750243000.0,9207564000.0,434474000.0,5607284000.0,5580017000.0,50000000.0,,,
13,ALUMA INFRASTRUCTURES,"March 31, 2022",2526000.0,1357000.0,0.418,,76663000.0,6258000.0,-45140000.0,47000000.0,371332000.0,45175000.0,,,326157000.0,,,,
14,AMIAD,"March 31, 2022",30854000.0,3721000.0,0.124,12978000.0,3928000.0,,-748000.0,-485000.0,142627000.0,58413000.0,734000.0,18000.0,82342000.0,,,,
