,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AURA,"September 30, 2022",645712000.0,110238000.0,0.4681,107311000.0,148459000.0,,,,2556382000.0,1804530000.0,330093000.0,88534000.0,636164000.0,,,"The company estimates annual revenues from commercial properties at 60,000,000 NIS.",
1,AVGOL,30 September 2022,471406000.0,8178000.0,0.027,64330000.0,30760000.0,,,,489014000.0,,,,,,296853096.0,"The company estimates that if this trend continues, it will have a positive impact on its results during the fourth quarter of 2022",
2,ABRA,"September 30, 2022",266893000.0,1538000.0,0.01,73624000.0,12147000.0,7965000.0,-88673000.0,92835000.0,496377000.0,251870000.0,2340000.0,74684000.0,244507000.0,,,,
3,ACRO GROUP,"September 30, 2022",787000000.0,170000000.0,1.4,191000000.0,237000000.0,,,,5385000000.0,3481564000.0,,,1904000000.0,25000000.0,38181241.0,,
4,ADGAR INVESTMENTS,"September 30, 2022",,,,,,,,,4927335000.0,3907633000.0,,,1367087000.0,,,"245,000,000 to 250,000,000 (NOI forecast for 2023)",
5,AFRICA ISRAEL RESIDENCES,30 September 2022,719919000.0,151398000.0,17.38,176722000.0,185797000.0,,,,3966744000.0,2635763000.0,,,1330981000.0,70000000.0,12643536.0,,
6,ALBAAD,"September 30, 2022",1382678000.0,-20979000.0,-8.37,309142000.0,111860000.0,2833000.0,-3630000.0,679000.0,1574253000.0,660306000.0,275143000.0,74017000.0,437007000.0,,,"The company intends to raise 40,000,000-50,000,000 NIS",
7,ALLOT,"November 15th, 2022",25040000.0,-12932000.0,-0.35,16377000.0,-13084000.0,-8295000.0,1421000.0,193000.0,217479000.0,104479000.0,,39525000.0,126008000.0,,37198187.0,"Maintaining guidance for full year revenues of 125,000,000 to 130,000,000, with expectations that full year revenues will trend toward the lower end of the range;
Additional recurring security deals to be executed, providing incremental MAR** of approximately 180,000,000 for the full year;
Continues to expect December 2022 total ARR* including SECaaS ARR* and Support & Maintenance ARR* to be between 50,000,000-52,000,000,
Continues to expect December 2022 SECaaS ARR* to be approximately 9,000,000;
Continues to expect recurring security revenue to be approximately 7,000,000 for 2022.",
8,ALMOGIM,"September 30, 2022",404310000.0,57701000.0,1.55,115445000.0,,36829000.0,-104549000.0,65884000.0,1331274000.0,1107357000.0,,,223917000.0,,,,
9,AMIAD,"September 30, 2022",95987000.0,5890000.0,0.179,39858000.0,10920000.0,1098000.0,-3623000.0,-5875000.0,143194000.0,57696000.0,2015000.0,15000.0,85498000.0,6500000.0,,,
10,AMIR MARKETING,"September 30, 2022",1174559.0,19061.0,3.95,178365.0,36968.0,27645.0,-11815.0,,933194.0,515511.0,119244.0,,376732.0,14381.0,,"The company expects no shortage of raw materials, but it may be difficult to impose all the increased raw material prices on its customers, given the competitive environment.",
11,AMOT,"September 30, 2022",664000000.0,314000000.0,118.7,,,369000000.0,-2285607000.0,1515186000.0,18748794000.0,9388554000.0,684471000.0,6730790000.0,8425164000.0,522000000.0,469757000.0,"Revenue forecast year 2022: 930,000,000. Real FFO forecast year 2022: 713,000,000-723,000,000, FFO per share forecast year 2022: 154-156",
12,APOLLO POWER,30 September 2022,2004000.0,,-0.93,487000.0,,,,,206982000.0,90749000.0,,,116233000.0,,,,
13,ARAD,30/09/2022,240870000.0,12017000.0,0.486,78403000.0,,2100000.0,,,301333000.0,171674000.0,27295000.0,30138000.0,128484000.0,11000000.0,,,
14,ASHTROM GROUP,"September 30, 2022",3846577000.0,582700000.0,0.28,832471000.0,978155000.0,144909000.0,-11029000.0,-5116000.0,16951105000.0,12496945000.0,,,4454160000.0,3500000.0,,,
15,ASPEN GROUP,30/09/2022,130414000.0,50736000.0,0.44,106471000.0,60434000.0,,,,4371283000.0,2983773000.0,154757000.0,1164134000.0,722570000.0,,62903000.0,"FFO (Funds From Operation) between 90,000,000-100,000,000",
16,AUDIOCODES,"September 30, 2022",69700000.0,5400000.0,0.17,43750000.0,7009000.0,2102000.0,-1016000.0,-11440000.0,316066000.0,137329000.0,,,178737000.0,5700000.0,32256000.0,"The company expects the Customer Experience business to return to growth in the fourth quarter. determined to balance our R&D, sales and marketing expenses for the balance of the year and into 2023. We expect that over the next several quarters we will benefit from better FX hedging, easing of supply chain pressures, and the tightening of discretionary spending",
17,AYALON HOLD.,"September 30, 2022",,-2529000.0,,,,,-145626000.0,152126000.0,279166000.0,261548000.0,,,17618000.0,,,,
18,AZRIELI GROUP,"September 30, 2022",,1469000.0,2.72,,,,,,47620000.0,,,,21643000.0,650000.0,121272760.0,,
19,B COMMUNICATIONS,30 September 2022,,809000000.0,,,,,,,16749000000.0,14898000000.0,,,1851000000.0,,114858990.0,"The adjusted net profit to the shareholders of Bezeq is expected to be in the range of 1,100,000,000-1,200,000,000 (compared to between 1,000,000,000-1,100,000,000 in the original forecast) The adjusted EBITDA is expected to be in the range of 3,650,000,000-3,750,000,000 (compared to between 3,600,000,000-3,700,000,000 in the original forecast)The CAPEX is expected to be in the range of 1,700,000,000-1,800,000,000 (no change compared to the original forecast) As for the scope of Bezeq's fiber network deployment - reaching approximately 1,500,000 households (compared to 1,400,000 in the original forecast).",
20,BAZAN,"September 30, 2022",3038000000.0,277000000.0,0.086,393136000.0,361000000.0,,,,4386718000.0,3014111000.0,303901000.0,873987000.0,1372607000.0,60000000.0,,The company expects to post an annual EBITDA of approximately $750 million in the refining sector for 2022.,
21,BAIT BAKFAR,"September 30, 2022",85390000.0,54900000.0,0.88,55601000.0,,23843000.0,-36602000.0,-29000000.0,1626805000.0,737242000.0,3113000.0,10500000.0,737242000.0,30000000.0,,,
22,BET SHEMESH,"September 30, 2022",41589000.0,437000.0,0.05,4753000.0,1487000.0,3038000.0,-3129000.0,962000.0,263039000.0,135587000.0,45648000.0,36228000.0,131816000.0,,,The company is obligated to meet standards that will be examined based on the company’s quarterly and annual consolidated reports over four consecutive quarters:,
23,BIG,"September 30, 2022",,1048313000.0,52.07,,,596000000.0,-1156000000.0,782000000.0,29779328000.0,,,15393341000.0,8521662000.0,,,,
24,BIKUREY HASHDE,"September 30, 2022",1274884000.0,24452000.0,0.31,317954000.0,37460000.0,65549000.0,-68444000.0,-13145000.0,872785000.0,589293000.0,131502000.0,16820000.0,283492000.0,,,,
25,BIO VIEW,"September 30, 2022",30513000.0,2184000.0,0.16,17586000.0,,-413000.0,-482000.0,-1011000.0,40017000.0,12857000.0,,,27160000.0,,,"The company is examining the possibilities before it to strengthen the company's capital base, inter alia, through an offering on a foreign stock exchange.",
26,BLUE SQUARE REAL ESTATE,"September 30, 2022",,555631000.0,47.94,,,315729000.0,-345445000.0,-393869000.0,7976150000.0,4542016000.0,226764000.0,3427540000.0,2678286000.0,-80000000.0,,,
27,BRACK CAPITAL PROPERTIES,"September 30, 2022",,,,,,,,,,,,,,,,"The company is examining the sale of additional assets from both the yielding and entrepreneurial portfolio, which the company began to examine selling them as necessary to meet the company's liquidity needs and in relation to which the company began the process of collecting indications regarding demand, the type of assets that will be sold and their price. According to the company's assessment, in light of the nature of the assets, the relatively low scope of each of the transactions for the sale of the assets and the initial indications that were received by the company, the company's board of directors expects that if there is a need and a binding decision of the company's board of directors to carry out the sales is received, the company will be able to complete the sale of the assets as stated during 2023.",
28,BRILL,"September 30, 2022",419322000.0,29567000.0,4.93,234178000.0,41186000.0,18152000.0,-8785000.0,-10534000.0,564550000.0,396351000.0,63983000.0,108520000.0,168378000.0,24733000.0,,The company estimates that a 1% increase in the inflation rate over a full year is expected to increase the Group's annual rental expenses by approximately NIS 0.7 million.,
29,CAMTEK,"November 17, 2022",82000000.0,20700000.0,0.43,39900000.0,20600000.0,25300000.0,,,642737000.0,282679000.0,,195463000.0,360058000.0,,44384531.0,"Management expects fourth quarter revenue to be similar to those of the third quarter, translating into record annual revenue of around $320 million for 2022.",
30,CARASSO MOTORS,30 September 2022,2455400.0,301028.0,,674016.0,,273263.0,-29446.0,-722371.0,4781057.0,2969553.0,742625.0,207853.0,1811504.0,,,"The company estimates that its financial robustness, along with its balance of cash and ongoing cash flow, will allow it to continue to finance its current activity while meeting all of its obligations.",
31,CELLCOM,"September 30, 2022",3239000000.0,108000000.0,0.66,947000000.0,263000000.0,,,,6681000000.0,4633000000.0,583000000.0,2310000000.0,2048000000.0,,,,
32,CLAL INSURANCE,"September 30, 2022",,-247000000.0,,,,,,,285308000000.0,136268321000.0,,,7787173000.0,,67743000.0,Not possible to assess the continuous developments in the markets and the interest rate and their influence on the results of 2022,
33,COMPUGEN,"September 30, 2022",6000000.0,-11748000.0,-0.14,5320000.0,-12212000.0,,,,99367000.0,19552000.0,,,79819000.0,,86624643.0,The Company expects its existing cash and cash related balances to fund its operating plans at least through the end of 2024.,
34,DAN HOTELS,"September 30, 2022",971272000.0,17802000.0,0.18,243216000.0,52317000.0,,,,2512274000.0,1478521000.0,463364000.0,392947000.0,1033753000.0,,,The company estimates that the increase in interest rates will affect the interest payments but not impact the company significantly,
35,DANYA CEBUS,"September 30, 2022",4060426000.0,213307000.0,,198133000.0,163502000.0,,,,2255342000.0,1625892000.0,,,629450000.0,90000000.0,,,
36,DELEK GROUP,"September 30, 2022",,,,,,,,,,,,,,,18358080.0,"Revenues from overriding royalties: 11,299 thousands USD",
37,DELEK AUTOMOTIV,"September 30, 2022",4392043000.0,736725000.0,,1141533000.0,1029590000.0,774000000.0,-53000000.0,-685000000.0,5545153000.0,3505574000.0,755269000.0,1006304000.0,1325779000.0,705000000.0,,,
38,DELTA GALIL,"September 30, 2022",1487126000.0,77712000.0,2.79,568868000.0,127845000.0,,,,1746361000.0,1136447000.0,100671000.0,127671000.0,609914000.0,,,"Revenues: 2,023,000,000 - 2,030,000,000, Operating Income: 119,000,000 - 121,000,000",
39,DISCOUNT,Q3 2022,,2556000000.0,2.38,,,,,,379074000000.0,354356000000.0,,15071000000.0,24112000000.0,,,"The bank estimates that the growth will slow to 2.5% in 2023 compared to 6%-6.5% in 2022, with a rise in unemployment",
40,DISCOUNT INVESTMENTS,30 September 2022,,2412000.0,,,,,,,12538994000.0,9960407000.0,,,64163000.0,3000000.0,,,
41,DOR ALON,Q3 2022,2406000000.0,-7000000.0,,269000000.0,73000000.0,,,,6720961000.0,5346508000.0,,,1374453000.0,50000000.0,,Expects to open three additional am:pm branches before the end of Q1 2023,
42,DORSEL HOLDINGS,"September 30, 2022",55626000.0,62021000.0,2.75,,87018000.0,32712000.0,-118503000.0,202798000.0,1086480000.0,566363000.0,,,414281000.0,-11000000.0,22553000.0,,
43,SHOHAM BUSINESS,30 September 2022,,,,,,,,,804153000.0,658562000.0,,,145591000.0,5000000.0,,,
44,ETGA GROUP,"September 30, 2022",515089000.0,27640000.0,1.45,78230000.0,35508000.0,,,,393644000.0,216959000.0,24865000.0,,215079000.0,15000000.0,,,
45,ECONERGY,"September 30, 2022",,,,,,,,,136277000.0,77468000.0,,59793000.0,58035000.0,,,Yes,
46,EL AL,"September 30, 2022",625918000.0,66819000.0,,137410000.0,,57000000.0,-21356000.0,-57276000.0,3253552000.0,2144988000.0,217108000.0,915448000.0,-355073000.0,,,"The company anticipates continued improvement in revenue and profitability, citing factors such as increased demand and stabilizing fuel costs.",
