,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AI SYSTEMS,"June 30, 2021",103000.0,-6269000.0,-0.64,-70000.0,,189000.0,-151000.0,2002000.0,3287000.0,1405000.0,,90000.0,1882000.0,,9784976.0,,
1,AUSTRALIA ISR,2021-06-30,332000.0,,-0.54,-533000.0,-2395000.0,,385000.0,-1636000.0,71942000.0,1438000.0,,,70504000.0,,2561157.0,"The company is working to locate acquisition deals, manage and execute investments in income-producing real estate in Israel, mainly commercial centers and/or logistics centers, as well as managing negotiations to populate the GamaTronix house property.",
2,AUGWIND,"June 30, 2021",1433000.0,-23171000.0,,504000.0,-17882000.0,-7763000.0,-152774000.0,6598000.0,208416000.0,16026000.0,,,182764000.0,,,,
3,ABRA,30.06.2021,24851000.0,1868000.0,0.249,8507000.0,2136000.0,-3044000.0,-702000.0,-718000.0,62630000.0,24794000.0,,,37836000.0,,,"In 2021, the company does not expect any major reduction in sales volume compared to the corresponding period last year.",
4,ACCEL,"June 30, 2021",50275000.0,-6075000.0,-0.068,13474000.0,,,,,125414000.0,9949000.0,35752000.0,9949000.0,70994000.0,,,,
5,ACKERSTEIN GROUP,"June 30, 2021",306772000.0,59152000.0,0.237,92458000.0,24544000.0,30482000.0,55280000.0,20129000.0,1464850000.0,317357000.0,104605000.0,130116000.0,796515000.0,-150000000.0,254700000.0,,
6,AFCON HOLDINGS,"June 30, 2021",984761000.0,100500000.0,2.67,104407000.0,36315000.0,80200000.0,-100900000.0,-40700000.0,1950646000.0,850800000.0,101900000.0,427200000.0,548900000.0,48000000.0,,,
7,AFI PROPERTIES,"June 30, 2021",,157800000.0,,,249000000.0,,,,13377000000.0,1871000000.0,,,4360600000.0,,,,
8,AFRICA ISRAEL RESIDENCES,"June 30, 2021",549915000.0,33422000.0,1.85,85057000.0,57127000.0,56264000.0,-36470000.0,279257000.0,3952191000.0,2861934000.0,1362694000.0,596535000.0,1090257000.0,60000000.0,12643536.0,,
9,AIRPORT CITY,30/06/2021,902750000.0,193553000.0,1.5,610012000.0,,310972000.0,26270000.0,96004000.0,15260519000.0,7580465000.0,,,7580465000.0,,,,
10,AIRTOUCH,"June 30, 2021",3012000.0,-6804000.0,0.74,691000.0,-7911000.0,,,,83205000.0,11055000.0,,,72150000.0,,33386389.0,The company estimates that its robot production capacity will reach 700 robots per month in the fourth quarter of 2021.,
11,ALBAAD,"June 30, 2021",751388000.0,42486000.0,4.07,183172000.0,71308000.0,,,,1804051000.0,1279496000.0,,,524555000.0,,,,
12,ALLOT,"June 30, 2021",35288000.0,-3979000.0,-0.11,24466000.0,-3805000.0,3593000.0,-1043000.0,908000.0,209022000.0,81574000.0,,,127448000.0,,35941378.0,"2021 revenues to grow to between $145,000,000-150,000,000; Recurring security deals to be closed in 2021 with an MAR* of at least $180,000,000; Recurring security revenues in 2021 of around $5,000,000 and approximately $25,000,000 in 2022",
13,ALMEDA PARTICIPATION UNIT,"June 30, 2021",333000.0,,,,,,,,19020000.0,411000.0,,163000.0,18609000.0,,,,
14,ALMOGIM,"June 30, 2021",185410000.0,8928000.0,0.45,40107000.0,21907000.0,28765000.0,,,743970000.0,581163000.0,59100000.0,133300000.0,162807000.0,6000000.0,,,
15,DOR ALON,"June 30, 2021",25210000.0,6873000.0,0.46,,,18500000.0,-5800000.0,-12600000.0,228834000.0,152239000.0,23032000.0,87254000.0,76595000.0,,14038000.0,BCM 8.5,
16,ALROV PROPERTIES,"June 30, 2021",,,,,,70000000.0,-466000000.0,368000000.0,14499596000.0,9545411000.0,,,4954185000.0,,,,
17,AMANET,30.6.2021,186781000.0,3382000.0,0.447,12499000.0,4316000.0,29840000.0,4719000.0,-10605000.0,205256000.0,9132000.0,,,112923000.0,,6605405.0,,
18,AMIAD,"June 30, 2021",57228000.0,4797000.0,0.14,24297000.0,,4045000.0,-1541000.0,-3929000.0,146720000.0,61144000.0,,,85576000.0,,30416488.0,,
19,AMIR MARKETING,"June 30, 2021",1008604000.0,28685000.0,2.29,88881000.0,37331000.0,12000000.0,-4900000.0,-2800000.0,857340000.0,483215000.0,61136000.0,9232000.0,344799000.0,10004000.0,,,
20,AMOT,"June 30, 2021",,196286000.0,,,,305026000.0,-8626000.0,39696000.0,15130472000.0,8681306000.0,537296000.0,6281532000.0,6449213000.0,205500000.0,411680000.0,"NOI: 735,000,000-765,000,000, FFO: 535,000,000-555,000,000, FFO Per Share: 134.0-136.0",
21,APOLLO POWER,"June 30, 2021",528000.0,,-0.55,116000.0,,-10867000.0,-3078000.0,127620000.0,35969000.0,12519000.0,,9257000.0,23450000.0,,,,
