,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,ACCEL,30 ביוני 2020,27338000.0,2344000.0,0.045,6163000.0,2521000.0,,-172000.0,8201000.0,31772000.0,12973000.0,,,14363000.0,,,,
1,ADGAR INVESTMENTS,30 ביוני 2020,123220000.0,-30357000.0,-0.2,,68917000.0,39296000.0,-154705000.0,151020000.0,4695690000.0,1224024000.0,366100000.0,3105566000.0,1224024000.0,21000000.0,,תחזית NOI בדוח המאוחד 225-230; תחזית FFO ריאלי לבעלי המניות 90-95,
2,APOLLO POWER,30 ביוני 2020,158000.0,-4901000.0,-0.22,2817000.0,-4747000.0,-3811000.0,-2711000.0,8472000.0,14230000.0,8304000.0,,,4099000.0,,,,
3,ASPEN GROUP,2020 ליום 30 ביוני,112000000.0,11000000.0,,83000000.0,,,,,3343000000.0,,,,,,,,
4,AUGWIND,30 ביוני 2020,6887000.0,-62711000.0,-17.39,1119000.0,-62331000.0,-3262000.0,-418000.0,10139000.0,29704000.0,6769000.0,,,23373000.0,,,"The company stated that it expects to be able to produce the storage system according to demand in the same way as in normal times, approximately, subject to government guidelines regarding restrictions on coming to workplaces.",
5,AURA,"June 30, 2020",347561000.0,3503000.0,0.017,,,,2794000.0,18117000.0,1587585000.0,1271088000.0,,,317862000.0,,,,
6,AFRICA ISRAEL RESIDENCES,30 ביוני 2020,574000000.0,22000000.0,,83000000.0,58000000.0,,,,3563436000.0,2526756000.0,243212000.0,1092268000.0,1036680000.0,50000000.0,,,
7,AIRPORT CITY,30.6.2020,204484000.0,26055000.0,0.28,147647000.0,28029000.0,220588000.0,-709122000.0,-380095000.0,14557923000.0,6976542000.0,,3835917000.0,7581381000.0,,,,
8,ALBAAD,30.6.2020,783583.0,47288.0,4.45,189210.0,79487.0,108007.0,-15462.0,-90538.0,1302102.0,847244.0,491110.0,356134.0,454858.0,,,,
9,ALLOT,"August 4, 2020",32800000.0,-3600000.0,-0.1,23000000.0,-3778000.0,-769000.0,980000.0,837000.0,208280000.0,73442000.0,0.0,0.0,131061000.0,,34917617.0,2020 revenues to be between $135 - $140 million,
10,ALMOGIM,"June 30, 2020",63484000.0,3138000.0,0.11,16521000.0,9494000.0,12453000.0,7516000.0,-20415000.0,622932000.0,489897000.0,211000000.0,132000000.0,133035000.0,,,,
