,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AFI PROPERTIES,2024-03-31,344038000.0,58949000.0,17.43,211722000.0,182427000.0,,,,19902571000.0,,,9495143000.0,,,38056400.0,,
1,ACCEL,2024-03-31,,,0.033,,,,,,,,,,,,164755008.0,,
2,ACKERSTEIN GROUP,2024-03-31,194088000.0,15234000.0,0.43,55239000.0,21849000.0,,,,1832785000.0,,,94327000.0,,,288060992.0,,
3,ADGAR INVESTMENTS,2024-03-31,81853000.0,3236000.0,-0.04,70304000.0,57441000.0,,,,5658190000.0,,,2959856000.0,,,164856000.0,,
4,AERODROME GROUP,2024-03-31,,,-0.25,,,,,,,,,,,,91569504.0,,
5,AFCON HOLDINGS,2024-03-31,437150000.0,14765000.0,11.74,54068000.0,20746000.0,,,,1784804000.0,,,388253000.0,,,5305950.0,,
6,AFRICA ISRAEL RESIDENCES,2024-03-31,208174000.0,23403000.0,17.16,45686000.0,30270000.0,,,,4052813000.0,,,507316000.0,,,12655200.0,,
7,AIRPORT CITY,2024-03-31,262617000.0,120541000.0,3.46,205053000.0,176008000.0,,,,18451003000.0,,,5235368000.0,,,116571000.0,,
8,AIRTOUCH,2024-03-31,,,-0.491,,,,,,,,,,,,36461300.0,,
9,ALARUM,2024-03-31,8376000.0,1440000.0,0.31,6573000.0,2586000.0,,,,26083000.0,,,691000.0,,,69525904.0,,
10,ALBAAD,2024-03-31,416222000.0,14168000.0,2.31,84041000.0,25755000.0,,,,1563120000.0,,,135332000.0,,,18647500.0,,
11,ALLOT,2024-03-31,21890000.0,-2510000.0,-0.59,15098000.0,-2743000.0,,,,133263000.0,,,39823000.0,,,39692800.0,,
12,ALMEDA PARTICIPATION UNIT,2024-03-31,,,,,,,,,,,,,,,14775500.0,,
13,ALMOGIM,2024-03-31,,,0.05,,,,,,,,,,,,43173600.0,,
14,ALONY HETZ,2024-03-31,554026000.0,-339821000.0,-1.81,485210000.0,383873000.0,,,,38453745000.0,,,19139594000.0,,,215032992.0,,
15,ALROV PROPERTIES,2024-03-31,261099000.0,8317000.0,14.42,84607000.0,41283000.0,,,,17296991000.0,,,6307225000.0,,,20603500.0,,
16,ALUMA INFRASTRUCTURES,2024-03-31,,,,,,,,,,,,,,,307392000.0,,
17,AMIR MARKETING,2024-03-31,278964000.0,10646000.0,3.57,47823000.0,14910000.0,,,,875811000.0,,,,,,64021400.0,,
18,AMOT,2024-03-31,279747000.0,149172000.0,1.95,246340000.0,230834000.0,,,,20443433000.0,,,8765874000.0,,,471550016.0,,
19,APOLLO POWER,2024-03-31,4021000.0,-18724000.0,-1.58,816000.0,-17838000.0,,,,299729000.0,,,,,,64094000.0,,
20,ARAD,2024-03-31,98201000.0,6822000.0,3.83,28710000.0,9215000.0,,,,365173000.0,,,38003000.0,,,24730700.0,,
21,ARBE ROBOTICS,2024-03-31,137000.0,-12805000.0,-2.38,-266000.0,-12760000.0,,,,42046000.0,,,,,,105163000.0,,
22,ASHDOD REFINERY,2024-03-31,793000000.0,-19000000.0,-10.51,-5000000.0,-13000000.0,,,,1353000000.0,,,196000000.0,,,12493800.0,,
23,ASHOT,2024-03-31,97474000.0,13711000.0,2.01,21255000.0,13768000.0,,,,687310000.0,,,,,,23917100.0,,
24,ASHTROM GROUP,2024-03-31,1113601000.0,5591000.0,1.67,222457000.0,101475000.0,,,,21174731000.0,,,10917664000.0,,,111502000.0,,
25,ASPEN GROUP,2024-03-31,58225000.0,-848000.0,-0.6,37775000.0,28385000.0,,,,5364966000.0,,,2932701000.0,,,64292300.0,,
26,AUDIOCODES,2024-03-31,60076000.0,2083000.0,1.95,38667000.0,3281000.0,,,,336133000.0,,,,,,29473100.0,,
27,AURA SMART AIR,2024-03-31,,,,,,,,,,,,,,,2522720.0,,
28,AVGOL,2024-03-31,86511000.0,300000.0,-0.01,10869000.0,3551000.0,,,,445202000.0,,,106783000.0,,,304222016.0,,
29,AVIATION LINKS,2024-03-31,,,-0.248,,,,,,,,,,,,7657120.0,,
30,AXILION,2024-03-31,,,-0.58,,,,,,,,,,,,30203100.0,,
31,AZRIELI GROUP,2024-03-31,749000000.0,464000000.0,12.13,533000000.0,461000000.0,,,,53788000000.0,,,20413000000.0,,,121273000.0,,
32,B COMMUNICATIONS,2024-03-31,2255000000.0,56000000.0,1.02,,441000000.0,,,,18002000000.0,,,8930000000.0,,,104162000.0,,
33,BIG,2024-03-31,574707000.0,134650000.0,58.61,388710000.0,322648000.0,,,,36982980000.0,,,18042205000.0,,,24673900.0,,
34,BIOLIGHT,2024-03-31,,,-1.53,,,,,,,,,,,,4657840.0,,
35,BLITZ-MOTORS,2024-03-31,,,,,,,,,,,,,,,1614120.0,,
36,BLUE SQUARE REAL ESTATE,2024-03-31,152265000.0,133383000.0,53.53,104199000.0,90161000.0,,,,9887922000.0,,,3987415000.0,,,12199200.0,,
37,BONUS BIOGROUP,2024-03-31,0.0,-7924000.0,-0.04,,-8232000.0,,,,38852000.0,,,,,,1167929984.0,,
38,BRAINSWAY,2024-03-31,9095000.0,111000.0,0.35,6812000.0,93000.0,,,,65143000.0,,,,,,37738500.0,,
39,BULIGO,2024-03-31,3317000.0,836000.0,0.2,,1284000.0,,,,69975000.0,,,,,,56039400.0,,
40,C-LAB,2024-03-31,,,0.14,,,,,,,,,,,,8480480.0,,
41,CAMTEK,2024-03-31,97010000.0,24799000.0,9.43,44723000.0,21238000.0,,,,816306000.0,,,197104000.0,,,45594500.0,,
42,CAPITAL POINT,2024-03-31,,,-0.18,,,,,,,,,,,,133581000.0,,
43,CARASSO MOTORS,2024-03-31,1501215000.0,65571000.0,2.92,253066000.0,130212000.0,,,,7170913000.0,,,2019271000.0,,,90387800.0,,
