,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,BEZEQ,30 בספטמבר 2020,,,,,,,,,,,,,,,,"בהתבסס על המידע הידוע לקבוצת בזק כיום, הרווח הנקי המתואם לבעלי מניות צפוי להיות כ-1,050,000,000 שייח. EBITDA המתואם צפוי להיות כ-3,600,000,000 שייח, CAPEX צפוי להיות כ-1,500,000,000 שייח",
1,AIRPORT CITY,30.9.2020,188245000.0,157000.0,1.21,,161362000.0,,,,14641020000.0,7040496000.0,,,7600524000.0,,,,
2,ASPEN GROUP,30 בספטמבר 2020,46000000.0,40000000.0,,37000000.0,,,,,2973000000.0,2117696000.0,,,856000000.0,,,,
3,AURA,30 בספטמבר 2020,510822.0,3497.0,0.017,149333000.0,33298.0,-182063.0,29167.0,199921.0,1587585.0,1175785.0,606594000.0,95710000.0,328001.0,,,"The company expects to record for the nine and three months ended September 30, 2020, profit attributable to the Company's owners of approximately NIS 23,717 thousand and approximately NIS 8,700 thousand, respectively, compared to a loss attributable to the Company's owners of approximately NIS (5,783) thousand and approximately (3) thousand, respectively, in the periods of nine and three months ended September 30, 2019, respectively, and compared to profit attributable to the Company's owners, in the amount of approximately NIS 3,506 thousand in 2019.",
4,ACCEL,2020-09-30,44628000.0,-5667000.0,-0.077,10409000.0,-4883000.0,4103000.0,-767000.0,-2519000.0,56116000.0,18648000.0,,,28203000.0,,,,
5,AFRICA ISRAEL RESIDENCES,30 בספטמבר 2020,915267000.0,42003000.0,3.32,130633000.0,91778000.0,,-145033000.0,-88232000.0,3762230000.0,2705529000.0,1571168000.0,1147968000.0,1056701000.0,-50000000.0,12643536.0,,
6,ALBAAD,"30 בספטמבר, 2020",404702000.0,42770000.0,3.92,118276000.0,60620000.0,171461000.0,17252000.0,70915000.0,1280057000.0,778120000.0,,342205000.0,501937000.0,25000000.0,,,
7,ALLOT,"November 4, 2020",34800000.0,-2400000.0,-0.07,23700000.0,-2511000.0,-140000.0,-12434000.0,223000.0,201095000.0,148476000.0,3168000.0,12235000.0,129043000.0,,35163221.0,"Management reiterates its prior-issued guidance, with expectations for full year 2020 revenues to be between $135 - $140 million",
8,ALMEDA PARTICIPATION UNIT,2020-09-30,,-30000.0,,,,,,,1457000.0,325000.0,,,1132000.0,,,,
9,ASHOT,30 בספטמבר 2020,244046000.0,8551000.0,0.22,21548000.0,14052000.0,,-9250000.0,11076000.0,530943000.0,247542000.0,,,283401000.0,,398.0,"במהלך השנים 2021-2020 צפויה ירידה משמעותית בהכנסות החברה במגזר האזרחי כתוצאה ישירה של מחלת נגיף הקורונה (COVID19), ביחס להכנסותיה במגזר זה בשנת 2019.",
10,BET SHEMESH,לרבעון השלישי לשנת 2020,26468000.0,-446000.0,-0.05,2651000.0,450000.0,665000.0,-3415000.0,5010000.0,259610000.0,131925000.0,27573000.0,48879000.0,131925000.0,,,החברה צופה כי במהלך שנת 2020 תהיה ירידה בהכנסות הקבוצה בשיעור של בין 15% לבין 20% ביחס לתקופה המקבילה אשתקד,
11,BIOLIGHT,2020-11-29,,-14576000.0,-2.77,160000.0,-10906000.0,,13582000.0,-125000.0,74951000.0,74951000.0,,,68147000.0,,4542901.0,,
12,BRACK CAPITAL PROPERTIES,30 בספטמבר 2020,15168000.0,1334000.0,0.06,,12294000.0,,-48307000.0,-19888000.0,1494746000.0,666686000.0,131310000.0,493972000.0,828060000.0,,,,
13,BRILL,30 בספטמבר 2020,317000000.0,-9200000.0,,,1700000.0,,-4600000.0,-45200000.0,491069000.0,244005000.0,103788000.0,199896000.0,122853000.0,,,,
14,BONUS BIOGROUP,30 בספטמבר 2020,,-22240000.0,-0.07,157040000.0,-16332000.0,-9558000.0,-50000.0,13898000.0,36975000.0,21876000.0,,,14938000.0,,,,
15,CAMTEK,"October 27, 2020",40100000.0,6000000.0,0.15,19400000.0,6300000.0,5000000.0,,,200940000.0,46942000.0,,,153998000.0,,39211381.0,"The Company expects continued revenue growth in the fourth quarter, with revenues to be between $42-44 million. The Company believes that revenue in the first half of 2021 will be similar to the revenue level in the second half of 2020, representing approximately 25% growth over the first half of 2020",
16,CAN FITE BIOFARMA,"November 30, 2020",613000.0,-10810000.0,-0.03,,-10586000.0,,,,13326000.0,9541000.0,,15000.0,9541000.0,-715000.0,323360926.0,,
17,CLAL BIOTECH,30 בספטמבר 2020,,-54885.0,-0.04,,,,-32961.0,2045.0,550140.0,428669.0,,,198522.0,,,,
18,COMPUGEN,"November 5, 2020",,-7761000.0,-0.09,,,,,,143359000.0,16123000.0,,,127236000.0,,83169989.0,,
19,CELLCOM,"November 23, 2020",956000000.0,-37000000.0,-0.22,212000000.0,-6000000.0,202000000.0,-535000000.0,-479000000.0,6742000000.0,4824000000.0,1754000000.0,3070000000.0,1918000000.0,,162810134.0,,
20,DISCOUNT INVESTMENTS,30 בספטמבר 2020,4621000.0,-357000.0,,,,3941000.0,-802000.0,-756000.0,261090000.0,123506000.0,,137584000.0,,,,,
