,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,AFI PROPERTIES,2025-04-16,1372331000.0,211403000.0,17.43,759746000.0,654287000.0,,,,19582416000.0,,,9299407000.0,,,38056400.0,,
1,ACCEL,2025-04-16,,,0.033,,,,,,,,,,,,164755008.0,,
2,ACKERSTEIN GROUP,2025-04-16,1036962000.0,93500000.0,0.43,291149000.0,137389000.0,,,,1887630000.0,,,101301000.0,,,288060992.0,,
3,ADGAR INVESTMENTS,2025-04-16,350577000.0,95505000.0,-0.04,304739000.0,250033000.0,,,,5654649000.0,,,2855013000.0,,,164856000.0,,
4,AERODROME GROUP,2025-04-16,33868000.0,-545000.0,-0.25,14100000.0,-1648000.0,,,,59509000.0,,,182000.0,,,91569504.0,,
5,AFCON HOLDINGS,2025-04-16,2154709000.0,-8563000.0,11.74,159937000.0,22928000.0,,,,1863569000.0,,,413757000.0,,,5305950.0,,
6,AFRICA ISRAEL RESIDENCES,2025-04-16,1079199000.0,171462000.0,17.16,240579000.0,183979000.0,,,,3775096000.0,,,600887000.0,,,12655200.0,,
7,AIRPORT CITY,2025-04-16,1020922000.0,253396000.0,3.46,790462000.0,731906000.0,,,,18570682000.0,,,5492572000.0,,,116571000.0,,
8,AIRTOUCH,2025-04-16,,,-0.491,,,,,,,,,,,,36461300.0,,
9,ALARUM,2025-04-16,26521000.0,-5525000.0,0.31,18810000.0,830000.0,,,,20066000.0,,,802000.0,,,69525904.0,,
10,ALBAAD,2025-04-16,1710479000.0,30227000.0,2.31,344372000.0,94510000.0,,,,1582603000.0,,,163422000.0,,,18647500.0,,
11,ALLOT,2025-04-16,93150000.0,-62804000.0,-0.59,52686000.0,-64935000.0,,,,138163000.0,,,39773000.0,,,39692800.0,,
12,ALMEDA PARTICIPATION UNIT,2025-04-16,,,,,,,,,,,,,,,14775500.0,,
13,ALMOGIM,2025-04-16,289942000.0,12439000.0,0.05,61114000.0,36668000.0,,,,1430766000.0,,,270624000.0,,,43173600.0,,
14,ALONY HETZ,2025-04-16,2004776000.0,-2392409000.0,-1.81,1725081000.0,1363320000.0,,,,38731166000.0,,,19006625000.0,,,215032992.0,,
15,ALROV PROPERTIES,2025-04-16,1285405000.0,-209127000.0,14.42,706874000.0,353855000.0,,,,17636319000.0,,,6642248000.0,,,20603500.0,,
16,ALUMA INFRASTRUCTURES,2025-04-16,,,,,,,,,,,,,,,307392000.0,,
17,AMIR MARKETING,2025-04-16,1248636000.0,20816000.0,3.57,183772000.0,51321000.0,,,,880360000.0,,,,,,64021400.0,,
18,AMOT,2025-04-16,1110874000.0,682612000.0,1.95,956256000.0,905758000.0,,,,20160188000.0,,,8421306000.0,,,471550016.0,,
19,APOLLO POWER,2025-04-16,10423000.0,-66081000.0,-1.58,2202000.0,-62797000.0,,,,274581000.0,,,,,,64094000.0,,
20,ARAD,2025-04-16,361201000.0,27023000.0,3.83,108842000.0,33383000.0,,,,348046000.0,,,29640000.0,,,24730700.0,,
21,ASHDOD REFINERY,2025-04-16,3774000000.0,116000000.0,-10.51,217000000.0,194000000.0,,,,1377000000.0,,,199000000.0,,,12493800.0,,
22,ASHTROM GROUP,2025-04-16,4818920000.0,30955000.0,1.67,990546000.0,500963000.0,,,,21376759000.0,,,10968011000.0,,,111502000.0,,
23,ASPEN GROUP,2025-04-16,214671000.0,-72797000.0,-0.6,160745000.0,125269000.0,,,,5274869000.0,,,2723604000.0,,,64292300.0,,
24,AUDIOCODES,2025-04-16,244383000.0,8780000.0,1.95,158349000.0,14424000.0,,,,337517000.0,,,,,,29473100.0,,
25,AURA SMART AIR,2025-04-16,,,,,,,,,,,,,,,2522720.0,,
26,AUTOMAX,2025-04-16,418932000.0,-16384000.0,-0.04,37843000.0,-6888000.0,,,,305316000.0,,,36405000.0,,,103692000.0,,
27,AVGOL,2025-04-16,318067000.0,3993000.0,-0.01,45363000.0,16720000.0,,,,441638000.0,,,107711000.0,,,304222016.0,,
28,AVIATION LINKS,2025-04-16,,,-0.248,,,,,,,,,,,,7657120.0,,
29,AXILION,2025-04-16,1914000.0,-24240000.0,-0.58,-1453000.0,-25334000.0,,,,35249000.0,,,,,,30203100.0,,
30,AZRIELI GROUP,2025-04-16,2943000000.0,2225000000.0,12.13,2032000000.0,1716000000.0,,,,54072000000.0,,,19935000000.0,,,121273000.0,,
31,B COMMUNICATIONS,2025-04-16,9103000000.0,187000000.0,1.02,,1896000000.0,,,,16353000000.0,,,7829000000.0,,,104162000.0,,
32,BIG,2025-04-16,2337146000.0,860986000.0,58.61,1419844000.0,1163833000.0,,,,36631181000.0,,,17969208000.0,,,24673900.0,,
33,BLUE SQUARE REAL ESTATE,2025-04-16,543427000.0,633697000.0,53.53,376710000.0,327527000.0,,,,9772808000.0,,,3974997000.0,,,12199200.0,,
34,BONUS BIOGROUP,2025-04-16,0.0,-28529000.0,-0.04,-2952000.0,-29790000.0,,,,44889000.0,,,,,,1167929984.0,,
35,BRAINSWAY,2025-04-16,31785000.0,-4197000.0,0.35,23477000.0,-4959000.0,,,,62972000.0,,,,,,37738500.0,,
36,C-LAB,2025-04-16,,,0.14,,,,,,,,,,,,8480480.0,,
37,CAMTEK,2025-04-16,315375000.0,78632000.0,9.43,147633000.0,65412000.0,,,,787667000.0,,,196831000.0,,,45594500.0,,
38,CAPITAL POINT,2025-04-16,242000.0,1711000.0,-0.18,-5441000.0,-10881000.0,,,,166365000.0,,,,,,133581000.0,,
39,CARASSO MOTORS,2025-04-16,4694717000.0,200188000.0,2.92,864458000.0,423132000.0,,,,7101418000.0,,,1877717000.0,,,90387800.0,,
40,CARASSO REAL ESTATE,2025-04-16,456507000.0,17350000.0,2.2,141904000.0,78693000.0,,,,3753242000.0,,,1415585000.0,,,54159000.0,,
41,CARMEL CORP,2025-04-16,977439000.0,104175000.0,2.85,409181000.0,106654000.0,,,,910105000.0,,,1850000.0,,,32467500.0,,
42,CARMIT,2025-04-16,234886000.0,521000.0,-0.26,52855000.0,12632000.0,,,,246624000.0,,,67082000.0,,,5586610.0,,
43,CASTRO,2025-04-16,1764529000.0,42522000.0,16.41,987527000.0,89591000.0,,,,2152403000.0,,,152536000.0,,,8552200.0,,
44,CELLCOM,2025-04-16,4398000000.0,134000000.0,1.04,1336000000.0,337000000.0,,,,6620000000.0,,,1739000000.0,,,166615008.0,,
45,CIPIA VISION,2025-04-16,,,,,,,,,,,,,,,182434000.0,,
46,COFIX GROUP,2025-04-16,311041000.0,-10827000.0,-0.13,88855000.0,-5271000.0,,,,220826000.0,,,4420000.0,,,31270700.0,,
47,COMPUGEN,2025-04-16,33459000.0,-18754000.0,-0.62,31455000.0,-12992000.0,,,,121334000.0,,,,,,93513000.0,,
48,DAN HOTELS,2025-04-16,1615580000.0,123199000.0,0.7,535442000.0,196533000.0,,,,2369282000.0,,,191108000.0,,,115599000.0,,
